title_id	title	year	runtime	genre
tt0011801	Tötet nicht mehr	2019	\N	Action,Crime
tt0069049	The Other Side of the Wind	2018	122	Drama
tt0100275	The Wandering Soap Opera	2017	80	Comedy,Drama,Fantasy
tt0111414	A Thin Life	2018	75	Comedy
tt0111596	Vazir	2015	\N	Action,Crime,Drama
tt0112502	Bigfoot	2017	\N	Horror,Thriller
tt0137204	Joe Finds Grace	2017	83	Adventure,Animation,Comedy
tt0137818	Housesitter: The Night They Saved Siegfried's Brain	2018	95	\N
tt0172182	Blood Type	2018	90	Comedy,Drama,Mystery
tt0192528	Heaven & Hell	2018	104	Drama
tt0195933	Mysteries	2019	\N	\N
tt0231955	Lapwa Chhapwi	2015	\N	Family
tt0261660	Dongalunnaru Jagratha	2017	\N	\N
tt0277124	Les mains au dos	2016	48	\N
tt0279481	Travel Daze	2019	\N	\N
tt0283440	Short Time Heroes	2015	45	Sci-Fi
tt0297400	Snowblind	2015	\N	Crime,Drama
tt0305811	Mathru Devo Bhava	2015	140	Drama
tt0315642	Wazir	2016	103	Action,Crime,Drama
tt0328810	My Land	2018	102	Drama,Family
tt0329539	Rice Girl	2014	95	Adventure,Comedy,Family
tt0331314	Bunyan and Babe	2017	84	Adventure,Animation,Comedy
tt0337926	Chatô - The King of Brazil	2016	102	Biography,Drama
tt0339736	The Evil Within	2017	98	Horror
tt0346045	Transeúntes	2015	101	Comedy,Drama
tt0360556	Fahrenheit 451	2018	100	Drama,Sci-Fi,Thriller
tt0364201	Aman Ke Farishtey	2016	137	Action
tt0365545	Nappily Ever After	2018	98	Comedy,Drama,Romance
tt0365907	A Walk Among the Tombstones	2014	114	Action,Crime,Drama
tt0369610	Jurassic World	2015	124	Action,Adventure,Sci-Fi
tt0370080	Den yderste frekvens	2017	16	\N
tt0376479	American Pastoral	2016	108	Crime,Drama,Mystery
tt0385887	Motherless Brooklyn	2019	144	Crime,Drama,Mystery
tt0389717	1990 Kaliyuga Vishwamitra	2015	107	\N
tt0403935	Action Jackson	2014	144	Action,Crime,Thriller
tt0420293	The Stanford Prison Experiment	2015	122	Biography,Drama,History
tt0424859	The Ninth Cloud	2014	93	Drama
tt0427543	A Million Little Pieces	2018	113	Drama
tt0435651	The Giver	2014	97	Drama,Romance,Sci-Fi
tt0437086	Alita: Battle Angel	2019	122	Action,Adventure,Sci-Fi
tt0441881	Danger Close	2019	118	Action,Drama,War
tt0443465	Before We Go	2014	95	Comedy,Drama,Romance
tt0443533	The History of Love	2016	134	Drama,Romance,War
tt0448115	Shazam!	2019	132	Action,Adventure,Comedy
tt0451201	Clawed	2017	95	Horror
tt0451279	Wonder Woman	2017	141	Action,Adventure,Fantasy
tt0455944	The Equalizer	2014	132	Action,Crime,Thriller
tt0458413	A Long Way Down	2014	96	Comedy,Drama
tt0458481	Sin City: A Dame to Kill For	2014	102	Action,Crime,Thriller
tt0460890	The Only Living Boy in New York	2017	89	Drama
tt0462335	High-Rise	2015	119	Drama,Sci-Fi
tt0464054	House at the End of the Drive	2014	97	Horror,Thriller
tt0470752	Ex Machina	2014	108	Drama,Sci-Fi,Thriller
tt0470936	Hot Country, Cold Winter	2016	104	Drama
tt0475290	Hail, Caesar!	2016	106	Comedy,Drama,Mystery
tt0478970	Ant-Man	2015	117	Action,Comedy,Sci-Fi
tt0485535	Dil Ka Sauda	2014	136	Action,Crime,Drama
tt0490215	Silence	2016	161	Drama,History
tt0491175	Suburbicon	2017	105	Comedy,Crime,Drama
tt0491203	Tulip Fever	2017	105	Drama,History,Romance
tt0493076	Nina	2016	90	Biography,Drama,Music
tt0493395	Badland	2019	165	Drama
tt0493405	CHIPS	2017	100	Action,Comedy,Crime
tt0498351	The Hero of Color City	2014	77	Adventure,Animation,Family
tt0498381	Rings	2017	102	Drama,Horror,Mystery
tt0765453	Have You Seen Me?	2016	\N	Comedy
tt0772175	Jersey Justice	2014	100	Action,Thriller
tt0775440	Cell	2016	98	Action,Adventure,Horror
tt0780548	Kid Cannabis	2014	110	Biography,Comedy,Crime
tt0783640	The Last Full Measure	2019	116	Drama,War
tt0787474	The Boxtrolls	2014	96	Adventure,Animation,Comedy
tt0787524	The Man Who Knew Infinity	2015	108	Biography,Drama
tt0790770	Miles Ahead	2015	100	Biography,Drama,Music
tt0791072	Enemigo	2019	93	Drama
tt0800325	The Dirt	2019	107	Biography,Comedy,Drama
tt0803096	Warcraft	2016	123	Action,Adventure,Fantasy
tt0810819	The Danish Girl	2015	119	Biography,Crime,Drama
tt0810836	Dirt Music	2019	105	Crime,Drama,Romance
tt0816692	Interstellar	2014	169	Adventure,Drama,Sci-Fi
tt0821486	Manhattan Minutiae	2016	99	Comedy,Music,Romance
tt0825283	Maximum Ride	2016	88	Action,Adventure,Comedy
tt0825334	Caravaggio and My Mother the Pope	2017	90	Comedy,Drama
tt0829150	Dracula Untold	2014	92	Action,Drama,Fantasy
tt0831387	Godzilla	2014	123	Action,Adventure,Sci-Fi
tt0834112	Maa Ayana Bangaram	2014	\N	Drama
tt0835775	Electric Slide	2014	95	Action,Biography,Crime
tt0835802	Krystal	2017	90	Comedy,Drama
tt0837156	Pee-wee's Big Holiday	2016	90	Comedy,Family
tt0837563	Pet Sematary	2019	100	Horror,Mystery,Thriller
tt0838194	Retreat!	2016	\N	Comedy,Drama,War
tt0839742	Bhopal: A Prayer for Rain	2014	96	Drama
tt0848554	The Sighting	2016	98	Horror,Mystery,Sci-Fi
tt0850247	Amsteroid	2018	98	Sci-Fi
tt0850678	Jackson Arms	2015	90	Romance
tt0858419	Bolden	2019	108	Drama
tt0859635	Super Troopers 2	2018	100	Comedy,Crime,Mystery
tt0862748	Lupin the 3rd	2014	133	Action,Adventure,Comedy
tt0862930	Dukun	2018	108	Crime,Horror,Thriller
tt0864835	Mr. Peabody & Sherman	2014	92	Adventure,Animation,Comedy
tt0874268	The Dot Man	2017	\N	Drama,Thriller
tt0884732	The Wedding Ringer	2015	101	Comedy,Romance
tt0892062	Hamlet A.D.D.	2014	95	Animation,Comedy,Fantasy
tt0900387	Suite Française	2014	107	Drama,Romance,Thriller
tt0903657	Love & Mercy	2014	121	Biography,Drama,Music
tt0906327	The Unlikely's	2016	\N	Comedy
tt0910885	A Merry Friggin' Christmas	2014	88	Comedy,Drama
tt0918520	Gangster Kittens	2016	\N	Drama,Thriller
tt0918940	The Legend of Tarzan	2016	110	Action,Adventure,Drama
tt0926132	Road to Red	2018	120	Action,Adventure,Horror
tt0932667	The Man in the Silo	2016	55	Drama
tt0936491	Snapshot Wedding	2017	100	Romance
tt0937225	Joe Dick	2017	96	Comedy
tt0949872	Coffee Sex You	2014	88	Drama
tt0959306	Reach Me	2014	95	Comedy,Crime,Drama
tt0961036	Avenge	2014	88	Drama
tt0972544	Back Roads	2018	101	Crime,Drama,Thriller
tt0974015	Justice League	2017	120	Action,Adventure,Fantasy
tt0977643	Chooriyan	2015	\N	Drama,Musical,Romance
tt0995868	Pele: Birth of a Legend	2016	107	Biography,Drama,Sport
tt0996664	The Extendables	2014	88	Comedy
tt0996976	The Slimbones	2014	\N	Animation
tt10001116	Mistero di un Impiegato	2019	\N	Drama
tt10001940	Chalu Dya Tumcha	2017	125	\N
tt10002654	Pattabhiraman	2019	139	Drama
tt10003792	Adalat	2019	\N	Drama
tt10003806	Jadugar 2	2019	\N	Comedy
tt10003990	Child of Wisdom	2019	\N	Drama
tt10004074	Ali the Blind Boxer	2019	\N	Drama
tt10004396	When I Became a Butterfly	2018	102	Drama,Thriller
tt10004574	Paradise	2019	78	Drama,Thriller
tt10004944	Aporia	2019	85	Action,Adventure,Horror
tt10005184	Down the River	2018	98	Adventure,Drama
tt10005200	Where is the Money..?	2017	\N	Action
tt10005378	In Their Own Words, Billy the Kid & The Lincoln County War	2019	104	Drama,Western
tt10005688	Dhuntaaraa	2015	92	Family
tt10005864	Barof 2019	2019	101	Drama
